cohort,painlevel,pain_bin,rows,subjects,trials,sections,segments
older_adults,0.0,zero,29,4,5,4,4
older_adults,1.0,mild,15,4,5,4,4
older_adults,2.0,mild,12,3,5,3,3
older_adults,3.0,mild,9,3,4,3,3
older_adults,4.0,moderate,15,3,5,3,3
older_adults,5.0,moderate,7,3,5,3,3
older_adults,6.0,moderate,13,3,5,3,3
older_adults,7.0,high,9,3,4,3,3
older_adults,8.0,high,3,1,3,1,1
older_adults,9.0,high,6,2,4,2,2
older_adults,10.0,high,5,1,3,1,1
older_adults,,,249877,4,6,4,4
young_adults,0.0,zero,18,2,0,1,1
young_adults,0.2,mild,1,1,0,1,1
young_adults,0.3,mild,2,1,0,1,1
young_adults,0.4,mild,2,1,0,1,1
young_adults,0.5,mild,8,2,0,1,1
young_adults,0.6,mild,2,1,0,1,1
young_adults,0.7,mild,3,1,0,1,1
young_adults,0.8,mild,2,1,0,1,1
young_adults,0.9,mild,5,1,0,1,1
young_adults,1.0,mild,5,2,0,1,1
young_adults,1.1,mild,5,1,0,1,1
young_adults,1.2,mild,1,1,0,1,1
young_adults,1.3,mild,1,1,0,1,1
young_adults,1.4,mild,4,1,0,1,1
young_adults,1.5,mild,2,1,0,1,1
young_adults,1.6,mild,2,1,0,1,1
young_adults,1.7,mild,1,1,0,1,1
young_adults,1.8,mild,3,1,0,1,1
young_adults,1.9,mild,3,1,0,1,1
young_adults,2.0,mild,6,2,0,1,1
young_adults,2.1,mild,4,1,0,1,1
young_adults,2.2,mild,3,1,0,1,1
young_adults,2.3,mild,4,1,0,1,1
young_adults,2.4,mild,2,2,0,1,1
young_adults,2.5,mild,1,1,0,1,1
young_adults,2.6,mild,4,2,0,1,1
young_adults,2.7,mild,5,2,0,1,1
young_adults,2.8,mild,5,1,0,1,1
young_adults,2.9,mild,4,1,0,1,1
young_adults,3.0,mild,1,1,0,1,1
young_adults,3.1,moderate,4,1,0,1,1
young_adults,3.2,moderate,4,1,0,1,1
young_adults,3.3,moderate,4,1,0,1,1
young_adults,3.4,moderate,4,1,0,1,1
young_adults,3.5,moderate,4,1,0,1,1
young_adults,3.6,moderate,4,1,0,1,1
young_adults,3.7,moderate,4,1,0,1,1
young_adults,3.8,moderate,3,1,0,1,1
young_adults,3.9,moderate,2,1,0,1,1
young_adults,4.0,moderate,3,1,0,1,1
young_adults,4.1,moderate,4,1,0,1,1
young_adults,4.2,moderate,4,1,0,1,1
young_adults,4.3,moderate,4,2,0,1,1
young_adults,4.4,moderate,5,2,0,1,1
young_adults,4.5,moderate,1,1,0,1,1
young_adults,4.6,moderate,2,1,0,1,1
young_adults,4.8,moderate,2,1,0,1,1
young_adults,4.9,moderate,4,1,0,1,1
young_adults,5.0,moderate,7,1,0,1,1
young_adults,5.1,moderate,4,1,0,1,1
young_adults,5.2,moderate,2,1,0,1,1
young_adults,5.3,moderate,1,1,0,1,1
young_adults,5.4,moderate,1,1,0,1,1
young_adults,5.5,moderate,3,1,0,1,1
young_adults,5.6,moderate,3,1,0,1,1
young_adults,5.7,moderate,1,1,0,1,1
young_adults,5.8,moderate,7,2,0,1,1
young_adults,5.9,moderate,2,1,0,1,1
young_adults,6.0,moderate,5,1,0,1,1
young_adults,6.1,high,3,1,0,1,1
young_adults,6.2,high,2,1,0,1,1
young_adults,6.3,high,3,2,0,1,1
young_adults,6.4,high,3,1,0,1,1
young_adults,6.5,high,2,1,0,1,1
young_adults,6.6,high,4,2,0,1,1
young_adults,6.7,high,7,1,0,1,1
young_adults,6.8,high,3,1,0,1,1
young_adults,6.9,high,6,1,0,1,1
young_adults,7.0,high,10,1,0,1,1
young_adults,7.1,high,6,1,0,1,1
young_adults,7.2,high,7,2,0,1,1
young_adults,7.3,high,8,2,0,1,1
young_adults,7.4,high,9,1,0,1,1
young_adults,7.5,high,4,1,0,1,1
young_adults,7.6,high,8,2,0,1,1
young_adults,7.7,high,5,2,0,1,1
young_adults,7.8,high,6,1,0,1,1
young_adults,7.9,high,7,2,0,1,1
young_adults,8.0,high,4,1,0,1,1
young_adults,8.1,high,7,1,0,1,1
young_adults,8.2,high,6,2,0,1,1
young_adults,8.3,high,5,1,0,1,1
young_adults,8.4,high,3,2,0,1,1
young_adults,8.5,high,4,1,0,1,1
young_adults,8.6,high,6,2,0,1,1
young_adults,8.7,high,1,1,0,1,1
young_adults,8.8,high,1,1,0,1,1
young_adults,8.9,high,1,1,0,1,1
young_adults,9.1,high,1,1,0,1,1
young_adults,9.2,high,3,2,0,1,1
young_adults,9.3,high,1,1,0,1,1
young_adults,9.5,high,2,1,0,1,1
young_adults,,,249645,2,0,1,1
