cohort,pain_bin,bvp__count,bvp__median,bvp__mean,bvp__std,eda__count,eda__median,eda__mean,eda__std,temperature__count,temperature__median,temperature__mean,temperature__std,hr__count,hr__median,hr__mean,hr__std
older_adults,zero,29,-0.0048971250653266,-0.03536638077990762,0.23829035205031873,0,,,,0,,,,1,96.2865498665054,96.2865498665054,
older_adults,mild,36,0.0083634946495294,0.04696407744712713,0.220528390737234,2,3.1384867429733276,3.1384867429733276,0.009524007651703746,1,32.1640625,32.1640625,,0,,,
older_adults,moderate,35,0.0001513846218585,0.0025992556874241055,0.05810660095867861,1,2.2783496379852295,2.2783496379852295,,1,32.1796875,32.1796875,,2,54.281070489634494,54.281070489634494,21.36420075582192
older_adults,high,23,-0.0230815559625625,-0.008319427826158368,0.05332961176374398,2,1.347377358470112,1.347377358470112,1.9005688929078277,0,,,,1,105.62892812248558,105.62892812248558,
older_adults,,249877,0.0036128032952547,-1.3386869255922832e-05,0.42113867704249525,15622,0.07770917564630506,0.6286159194274277,0.9800249587074199,3904,31.78125,31.37288478163422,1.1738215829792142,3901,71.30779274480957,76.15055345054051,12.677141635300709
young_adults,zero,18,-26.03,-11.821111111111113,128.66095225042804,1,0.029467,0.029467,,1,34.84,34.84,,1,71.62,71.62,
young_adults,mild,91,-1.22,-2.205054945054945,61.21653796834873,5,0.357694,0.28297340000000004,0.2672544422358588,5,33.31,32.722,0.909461379059055,2,89.035,89.035,19.28280192295714
young_adults,moderate,98,-3.26,-5.966020408163266,51.55520935690816,5,0.494771,0.41287700000000005,0.23962436205548884,5,33.41,33.094,0.7290267484804661,3,81.62,79.08,5.334632133521493
young_adults,high,148,6.645,6.185135135135135,69.80912730498538,13,0.370505,0.26134846153846153,0.24764567805119453,13,33.34,32.59076923076923,0.8980577332820524,3,82.9,84.22000000000001,3.351014771677382
young_adults,,249645,3.32,-0.037638206252879086,87.9146464156349,15602,0.206257,0.2568430649275734,0.2404892178409269,15602,33.34,33.083322650942186,1.2200801349849606,3899,84.48,83.57890228263658,8.95068811188195
