"window_s","task","dataset_id","top_shape_features","pairs_abs_correlation_ge_095"
5,"cognitive_load_vs_baseline","catsa",30,8
5,"stress_vs_exercise","induced_stress_exercise",30,16
5,"pain_high_4_plus","painmonit",30,3
5,"pain_high_4_plus","painmonit_pmed",30,1
5,"pain_high_4_plus","physiopain_watch",30,12
5,"pain_high_4_plus","rheumapain",30,14
5,"pain_high_4_plus","silver_pain",30,13
5,"wesad_stress","wesad",30,22
10,"cognitive_load_vs_baseline","catsa",30,10
10,"stress_vs_exercise","induced_stress_exercise",30,6
10,"pain_high_4_plus","painmonit",30,4
10,"pain_high_4_plus","painmonit_pmed",30,5
10,"pain_high_4_plus","physiopain_watch",30,15
10,"pain_high_4_plus","rheumapain",30,14
10,"pain_high_4_plus","silver_pain",30,15
10,"wesad_stress","wesad",30,25
30,"cognitive_load_vs_baseline","catsa",30,17
30,"stress_vs_exercise","induced_stress_exercise",30,14
30,"pain_high_4_plus","painmonit",30,25
30,"pain_high_4_plus","painmonit_pmed",30,8
30,"pain_high_4_plus","physiopain_watch",30,27
30,"pain_high_4_plus","rheumapain",30,14
30,"pain_high_4_plus","silver_pain",30,12
30,"wesad_stress","wesad",30,27
