"window_s","task","dataset_id","median_order_advantage","p90_order_advantage","fraction_order_advantage_gt_002"
5,"cognitive_load_vs_baseline","catsa",0,0.0524688311688312,0.424242424242424
10,"cognitive_load_vs_baseline","catsa",0.0115705128205128,0.0503794871794872,0.485714285714286
30,"cognitive_load_vs_baseline","catsa",0.0261437499999999,0.0701675,0.542857142857143
5,"stress_vs_exercise","induced_stress_exercise",0,0.102680976430976,0.325757575757576
10,"stress_vs_exercise","induced_stress_exercise",0,0.140393939393939,0.403571428571429
30,"stress_vs_exercise","induced_stress_exercise",0.0051262626262627,0.187186953332205,0.419047619047619
5,"pain_high_4_plus","painmonit",0,0.0276747881355932,0.146464646464646
10,"pain_high_4_plus","painmonit",0,0.0441991341991342,0.242857142857143
30,"pain_high_4_plus","painmonit",0.000891187470780708,0.0660866643291258,0.314285714285714
5,"pain_high_4_plus","painmonit_pmed",0.000634728485519431,0.0706238908868735,0.348484848484849
10,"pain_high_4_plus","painmonit_pmed",0.0121196036801133,0.136856510598649,0.478571428571429
30,"pain_high_4_plus","painmonit_pmed",0.00106428267347808,0.177377159244612,0.45
5,"pain_high_4_plus","physiopain_watch",0,0.0355137844611528,0.168831168831169
10,"pain_high_4_plus","physiopain_watch",0,0.0236716791979949,0.138775510204082
30,"pain_high_4_plus","physiopain_watch",0,0.0198515729182834,0.0938775510204082
5,"pain_high_4_plus","rheumapain",0,0.0626398210290828,0.268398268398268
10,"pain_high_4_plus","rheumapain",0,0.0748149386017033,0.261224489795918
30,"pain_high_4_plus","rheumapain",0,0.0759583833533414,0.302040816326531
5,"pain_high_4_plus","silver_pain",0,0.0702160493827161,0.33587786259542
10,"pain_high_4_plus","silver_pain",0.000159729828404509,0.0928258488499453,0.35
30,"pain_high_4_plus","silver_pain",0,0.0373507653061224,0.271428571428571
5,"wesad_stress","wesad",0,0.0459043064290706,0.200757575757576
10,"wesad_stress","wesad",0,0.0487808914386584,0.279365079365079
30,"wesad_stress","wesad",0,0.06,0.298412698412698
