"window_s","task","dataset_id","feature_group","significant_features_fdr_005"
5,"cognitive_load_vs_baseline","catsa","base",3
10,"cognitive_load_vs_baseline","catsa","base",3
30,"cognitive_load_vs_baseline","catsa","base",3
5,"stress_vs_exercise","induced_stress_exercise","base",1
10,"stress_vs_exercise","induced_stress_exercise","base",5
30,"stress_vs_exercise","induced_stress_exercise","base",2
10,"pain_high_4_plus","painmonit","base",1
30,"pain_high_4_plus","painmonit","base",3
5,"pain_high_4_plus","painmonit_pmed","base",1
5,"wesad_stress","wesad","base",13
10,"wesad_stress","wesad","base",6
30,"wesad_stress","wesad","base",6
30,"pain_high_4_plus","silver_pain","coupling",2
10,"pain_high_4_plus","painmonit_pmed","quality",8
30,"pain_high_4_plus","painmonit_pmed","quality",6
5,"cognitive_load_vs_baseline","catsa","reverse",6
10,"cognitive_load_vs_baseline","catsa","reverse",6
30,"cognitive_load_vs_baseline","catsa","reverse",6
5,"stress_vs_exercise","induced_stress_exercise","reverse",15
10,"stress_vs_exercise","induced_stress_exercise","reverse",14
30,"stress_vs_exercise","induced_stress_exercise","reverse",15
5,"pain_high_4_plus","painmonit","reverse",1
10,"pain_high_4_plus","painmonit","reverse",5
30,"pain_high_4_plus","painmonit","reverse",10
5,"pain_high_4_plus","painmonit_pmed","reverse",14
10,"pain_high_4_plus","painmonit_pmed","reverse",15
30,"pain_high_4_plus","painmonit_pmed","reverse",12
30,"pain_high_4_plus","silver_pain","reverse",10
5,"wesad_stress","wesad","reverse",9
10,"wesad_stress","wesad","reverse",12
30,"wesad_stress","wesad","reverse",12
5,"cognitive_load_vs_baseline","catsa","shape",6
10,"cognitive_load_vs_baseline","catsa","shape",6
30,"cognitive_load_vs_baseline","catsa","shape",6
5,"stress_vs_exercise","induced_stress_exercise","shape",16
10,"stress_vs_exercise","induced_stress_exercise","shape",15
30,"stress_vs_exercise","induced_stress_exercise","shape",14
5,"pain_high_4_plus","painmonit","shape",1
10,"pain_high_4_plus","painmonit","shape",5
30,"pain_high_4_plus","painmonit","shape",9
5,"pain_high_4_plus","painmonit_pmed","shape",14
10,"pain_high_4_plus","painmonit_pmed","shape",17
30,"pain_high_4_plus","painmonit_pmed","shape",12
30,"pain_high_4_plus","silver_pain","shape",11
5,"wesad_stress","wesad","shape",9
10,"wesad_stress","wesad","shape",12
30,"wesad_stress","wesad","shape",13
5,"cognitive_load_vs_baseline","catsa","shuffle",6
10,"cognitive_load_vs_baseline","catsa","shuffle",6
30,"cognitive_load_vs_baseline","catsa","shuffle",6
5,"stress_vs_exercise","induced_stress_exercise","shuffle",8
10,"stress_vs_exercise","induced_stress_exercise","shuffle",6
30,"stress_vs_exercise","induced_stress_exercise","shuffle",9
10,"pain_high_4_plus","painmonit","shuffle",6
30,"pain_high_4_plus","painmonit","shuffle",7
5,"pain_high_4_plus","painmonit_pmed","shuffle",5
30,"pain_high_4_plus","painmonit_pmed","shuffle",10
30,"pain_high_4_plus","silver_pain","shuffle",2
5,"wesad_stress","wesad","shuffle",9
10,"wesad_stress","wesad","shuffle",10
30,"wesad_stress","wesad","shuffle",9
