window_s,task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
5,pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_distribution,1327,241,45,0.7344398340248963,0.4780190677966102,0.7137298090471071,0.2810211858179158
5,pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_temporal,1327,241,87,0.7344398340248963,0.474311440677966,0.7036307639714112,0.3101211880965693
5,pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_distribution,1170,398,45,0.2035175879396984,0.3998909529929508,0.176905580788026,0.361772502580181
5,pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_temporal,1170,398,87,0.2035175879396984,0.3990341550804221,0.1781179790010391,0.4068311724060339
5,pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_distribution,1168,400,45,0.475,0.4887719298245614,0.4729011636431277,0.2845696050285909
5,pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_temporal,1168,400,87,0.475,0.4428571428571428,0.4343357321835911,0.3206894924577286
5,pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_distribution,1232,336,45,0.0982142857142857,0.4623462346234623,0.0868193840459531,0.30068496726632
5,pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_temporal,1232,336,87,0.0982142857142857,0.5068506850685068,0.094535859906301,0.2925166767051357
5,pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_distribution,1375,193,45,0.5803108808290155,0.6392195767195767,0.6695643195119875,0.233403969352254
5,pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_temporal,1375,193,87,0.5803108808290155,0.5778218694885362,0.6514163837099407,0.2707319547520932
10,pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_distribution,1440,344,45,0.7122093023255814,0.4192537621109049,0.6592472679513253,0.3015852742417933
10,pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_temporal,1440,344,90,0.7122093023255814,0.5092145949288807,0.7224026464081301,0.297648101365799
10,pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_distribution,1385,399,45,0.2030075187969924,0.4276729559748427,0.2063928282674676,0.3705109923393705
10,pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_temporal,1385,399,90,0.2030075187969924,0.3020032611227579,0.1517553516686715,0.3919292678575177
10,pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_distribution,1384,400,45,0.475,0.4444110275689222,0.4420203038754998,0.2903957589238205
10,pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_temporal,1384,400,90,0.475,0.4767919799498746,0.4583884737437295,0.3346196371088284
10,pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_distribution,1441,343,45,0.0962099125364431,0.4712609970674487,0.0854270759780747,0.2697746343534649
10,pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_temporal,1441,343,90,0.0962099125364431,0.5152492668621701,0.0970736434782009,0.282236968668862
10,pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_distribution,1486,298,45,0.5570469798657718,0.5985304855786784,0.6167767523879755,0.2386449011590444
10,pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_temporal,1486,298,90,0.5570469798657718,0.5690945600584154,0.6295825939127924,0.2664785643751764
30,pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_distribution,1596,400,45,0.69,0.487260402057036,0.7156266229584647,0.28002574756853
30,pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_temporal,1596,400,90,0.69,0.4114071996259935,0.6285571249218778,0.3168259003638655
30,pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_distribution,1596,400,45,0.2025,0.3199040210534463,0.1507517605954902,0.3598024603311242
30,pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_temporal,1596,400,90,0.2025,0.1734200239947366,0.1263502429984944,0.4911684942515079
30,pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_distribution,1596,400,45,0.475,0.4501002506265664,0.4402249441382244,0.2990592846418555
30,pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_temporal,1596,400,90,0.475,0.4574185463659147,0.4530752372278638,0.3378498721888802
30,pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_distribution,1596,400,45,0.0875,0.4338160469667319,0.0733814359457976,0.3196440828128283
30,pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_temporal,1596,400,90,0.0875,0.5058317025440313,0.083926934120791,0.3415722927700315
30,pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_distribution,1600,396,45,0.5050505050505051,0.5385331632653061,0.5283896275727427,0.2543960584808626
30,pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_temporal,1600,396,90,0.5050505050505051,0.4684566326530612,0.4869895510896217,0.3009208594558185
