experiment,train_source,test_source,model,train_rows,test_rows,train_subjects,test_subjects,rows,prevalence,accuracy,balanced_accuracy,f1,roc_auc,average_precision
subject_holdout,StressData,StressData,hist_gradient_boosting,190195,61295,74,25,61295,0.3862631536014357,0.7637164532180439,0.7236270959961124,0.6415365195653788,0.8638550658645159,0.8190245971118836
subject_holdout,StressData,StressData,random_forest,190195,61295,74,25,61295,0.3862631536014357,0.7604209152459418,0.7214432281416138,0.6394815014852822,0.8514298300769597,0.7960092014647994
subject_holdout,SynthesizedStressData,SynthesizedStressData,hist_gradient_boosting,192896,63904,150,50,63904,0.4798447671507261,0.8564252628943415,0.854841376098314,0.844993326688179,0.9448499318179606,0.9419447555633678
subject_holdout,SynthesizedStressData,SynthesizedStressData,random_forest,192896,63904,150,50,63904,0.4798447671507261,0.8719485478217326,0.8715208911589549,0.8658106623374494,0.9460485552149724,0.9370510136550213
source_transfer,real_other_sources,NEURO,hist_gradient_boosting,227744,23746,79,20,23746,0.5479238608607766,0.5065695274993683,0.516387187266609,0.478989728311619,0.5218082603387761,0.6062615707658658
source_transfer,real_other_sources,NEURO,random_forest,227744,23746,79,20,23746,0.5479238608607766,0.5070327634127854,0.5221791728878903,0.44736096685865356,0.5370683442697639,0.5949411826971773
source_transfer,synthetic_only,NEURO,hist_gradient_boosting,256800,23746,200,20,23746,0.5479238608607766,0.646382548639771,0.6366142589318479,0.6959261271048344,0.7061962904306153,0.7519417426158488
source_transfer,synthetic_only,NEURO,random_forest,256800,23746,200,20,23746,0.5479238608607766,0.6619220079171229,0.6552268606367504,0.7015169541939322,0.7331480900561478,0.7749955976254042
source_transfer,real_other_plus_synthetic,NEURO,hist_gradient_boosting,484544,23746,279,20,23746,0.5479238608607766,0.6227154046997389,0.6256171724137116,0.6335937180483416,0.6739966901998334,0.749433052534638
source_transfer,real_other_plus_synthetic,NEURO,random_forest,484544,23746,279,20,23746,0.5479238608607766,0.6688705466183779,0.6712877323501518,0.6813373860182371,0.7397470063756377,0.7819245677070314
source_transfer,real_other_sources,SWELL,hist_gradient_boosting,93865,157625,90,9,157625,0.2856780333068993,0.5970499603489294,0.5344831936378407,0.3552103954114004,0.5989799548153663,0.38040736270535125
source_transfer,real_other_sources,SWELL,random_forest,93865,157625,90,9,157625,0.2856780333068993,0.5481363996827915,0.6316400771822885,0.5110020253338368,0.6431057201756748,0.40122787615083966
source_transfer,synthetic_only,SWELL,hist_gradient_boosting,256800,157625,200,9,157625,0.2856780333068993,0.8559238699444885,0.7967413004126691,0.7231500670486407,0.9193126544498554,0.8266630690313441
source_transfer,synthetic_only,SWELL,random_forest,256800,157625,200,9,157625,0.2856780333068993,0.8931958762886598,0.8494824372010796,0.799952468659022,0.9431983372059483,0.8859357646729367
source_transfer,real_other_plus_synthetic,SWELL,hist_gradient_boosting,350665,157625,290,9,157625,0.2856780333068993,0.8520222045995242,0.7915449580578227,0.715218851107991,0.9166209703125617,0.8265724803075436
source_transfer,real_other_plus_synthetic,SWELL,random_forest,350665,157625,290,9,157625,0.2856780333068993,0.8957018239492466,0.8528023198551105,0.8048201353437018,0.9439622195019229,0.887943500417956
source_transfer,real_other_sources,UBFC,hist_gradient_boosting,212921,38569,43,56,38569,0.984417537400503,0.9105239959553009,0.462468394437421,0.953166772972166,0.5876366112315967,0.9910052098474578
source_transfer,real_other_sources,UBFC,random_forest,212921,38569,43,56,38569,0.984417537400503,0.9170058855557572,0.4657606405394016,0.9567063851657492,0.5799828237878575,0.9907829437375291
source_transfer,synthetic_only,UBFC,hist_gradient_boosting,256800,38569,200,56,38569,0.984417537400503,0.9636754906790428,0.489464812473662,0.9815017758823297,0.6198228361846705,0.9904883522070909
source_transfer,synthetic_only,UBFC,random_forest,256800,38569,200,56,38569,0.984417537400503,0.9636754906790428,0.5304037010236486,0.9814773193014001,0.659099715637584,0.9899739183815001
source_transfer,real_other_plus_synthetic,UBFC,hist_gradient_boosting,469721,38569,243,56,38569,0.984417537400503,0.9558972231584951,0.4855141171512853,0.9774513832734599,0.5377390882803138,0.9894298840560943
source_transfer,real_other_plus_synthetic,UBFC,random_forest,469721,38569,243,56,38569,0.984417537400503,0.9429334439575825,0.5198685134973107,0.9705894143271376,0.6243980174565077,0.9889324856965042
source_transfer,real_other_sources,WESAD,hist_gradient_boosting,219940,31550,85,14,31550,0.3022187004754358,0.5084627575277337,0.43720238417792323,0.24017638412542872,0.4062972033298077,0.24598543542797813
source_transfer,real_other_sources,WESAD,random_forest,219940,31550,85,14,31550,0.3022187004754358,0.5151822503961965,0.439966147884344,0.23748753738783648,0.43801230295261573,0.25765951865066233
source_transfer,synthetic_only,WESAD,hist_gradient_boosting,256800,31550,200,14,31550,0.3022187004754358,0.582662440570523,0.6154602007188453,0.502850670190674,0.6580587364695449,0.42175558285052267
source_transfer,synthetic_only,WESAD,random_forest,256800,31550,200,14,31550,0.3022187004754358,0.5836450079239303,0.6028764770551993,0.4860719874804382,0.6818763390218401,0.5261756730579362
source_transfer,real_other_plus_synthetic,WESAD,hist_gradient_boosting,476740,31550,285,14,31550,0.3022187004754358,0.5411093502377179,0.559139195864573,0.4433679354094579,0.5717610900991018,0.35182101998206305
source_transfer,real_other_plus_synthetic,WESAD,random_forest,476740,31550,285,14,31550,0.3022187004754358,0.6298890649762282,0.6402341517397503,0.5211400451096986,0.6898009306473479,0.5148410312245005
